input_size_bytes.max,task_name,duration,memory_usage_bytes.avg,memory_usage_bytes.max,output_size_bytes.max
399036,load_data,19,64884370.09960976,67002368,336995
538838,load_data,24,67058520.92482067,70037504,456823
1040080,load_data,46,79769422.38466749,85032960,885881
288831,load_data,14,64100458.80647603,65593344,246391
242853,load_data,12,63568466.03933942,65740800,205801
401317,load_data,20,64713611.71454302,67039232,341908
686256,load_data,29,69347708.62667626,72953856,577028
798012,load_data,34,72295276.13908319,75583488,678052
772259,load_data,35,71647769.23838854,75657216,657682
309294,load_data,14,63812187.99067873,65974272,263273
336995,remove_pii,45,62000563.992862985,62455808,240154
456823,remove_pii,49,62534645.65897537,64102400,326706
885881,remove_pii,66,66211264.029911,66990080,636856
246391,remove_pii,42,61506176.4003865,61992960,175686
205801,remove_pii,41,61230854.54258994,61693952,146580
341908,remove_pii,45,62134632.357904196,63344640,243915
577028,remove_pii,54,63430031.65387993,65208320,413563
678052,remove_pii,57,64372966.27934112,66134016,486327
657682,remove_pii,57,64079230.84698132,65810432,471753
263273,remove_pii,43,62204513.7397598,62709760,188128
240154,sentiment_analysis,70,87872533.20232974,89448448,361892
326706,sentiment_analysis,85,88913362.4949928,91721728,489104
636856,sentiment_analysis,114,92262371.42839873,97443840,949454
175686,sentiment_analysis,61,86215459.50696063,87715840,264750
146580,sentiment_analysis,63,86913181.24613605,87969792,220412
243915,sentiment_analysis,68,87988904.59016496,89567232,367259
413563,sentiment_analysis,86,89543722.24120347,92954624,619505
486327,sentiment_analysis,95,90079895.4465174,94121984,727575
471753,sentiment_analysis,96,90856267.07959712,93261824,704808
188128,sentiment_analysis,62,86902178.52562132,88272896,281891
